Start Time:  2/20/2019 8:23:08 PM         Time Completed:  2/21/2019 1:54:33 AM     Elapsed Time:  05:31:24
Sample ID:     BFO_425_DCD_200219

Experiment:    C:\IDEASVSM\Default UserID\Experiments\CDC_BFO1\CDC_BFO1,exp
Data File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\BFO_425_DCD_200219,txt
Plot File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\BFO_425_DCD_200219,oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\CDC_BFO1\CDC_BFO1,stp
VSM Data File: c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\BFO_425_DCD_200219,dat

***DATA***

Field(Oe)	 Moment(emu)	
 0,11338251 	-0,000013863725 	
 10,0292 	-0,000019524115 	
 19,950176 	-0,000024911783 	
 30,226019 	-0,000021891839 	
 40,053841 	-0,000025966927 	
 50,092739 	-0,000027313653 	
 60,152237 	-0,000030276559 	
 69,47554 	-0,00002923115 	
 79,668884 	-0,000024892314 	
 90,433388 	-0,00002688898 	
 99,977829 	-0,000025135376 	
 110,01648 	-0,000032150934 	
 119,94702 	-0,000028456713 	
 129,98575 	-0,000027970818 	
 140,07617 	-0,000024764242 	
 150,06361 	-0,000021585806 	
 160,02533 	-0,000020782394 	
 170,09515 	-0,000025632146 	
 180,00067 	-0,000023287923 	
 190,02501 	-0,000023088287 	
 200,06477 	-0,000026384908 	
 209,89346 	-0,000024114531 	
 219,98474 	-0,000025581952 	
 230,10667 	-0,00002581026 	
 240,08383 	-0,000029521592 	
 249,91165 	-0,000026735583 	
 260,1308 	-0,000028375566 	
 270,02045 	-0,000024332419 	
 279,99292 	-0,000031774249 	
 290,03281 	-0,000025463159 	
 300,03152 	-0,000024023041 	
 310,056 	-0,000025849655 	
 319,94659 	-0,000027385523 	
 329,95563 	-0,000028405226 	
 339,92346 	-0,000027079718 	
 349,93762 	-0,000029111292 	
 359,9621 	-0,000028041166 	
 370,00201 	-0,000029028547 	
 380,04446 	-0,000023926987 	
 389,97699 	-0,000031232075 	
 399,9043 	-0,000031516508 	
 409,93976 	-0,000025469471 	
 419,99057 	-0,000031117768 	
 430,06201 	-0,000029782222 	
 440,01001 	-0,000034802254 	
 450,09692 	-0,00002668151 	
 460,10144 	-0,000025992937 	
 470,05969 	-0,000032402285 	
 480,01276 	-0,00003309565 	
 490,01727 	-0,000029875917 	
 500,06796 	-0,000030555213 	
 509,93768 	-0,000025605757 	
 519,95648 	-0,000033457733 	
 530,02679 	-0,000031199068 	
 540,02515 	-0,000027249694 	
 550,08002 	-0,000028580069 	
 559,9137 	-0,000032015789 	
 569,99945 	-0,00003088794 	
 579,95648 	-0,000033881798 	
 589,92914 	-0,000034289056 	
 600,0921 	-0,00002807904 	
 609,97717 	-0,000030490645 	
 620,01666 	-0,000027281256 	
 629,94812 	-0,000031490119 	
 640,02356 	-0,000027162006 	
 649,92419 	-0,000034261221 	
 659,97388 	-0,00002748804 	
 670,14709 	-0,000023612893 	
 679,98083 	-0,000024918399 	
 690,03564 	-0,000034650455 	
 700,05457 	-0,000028804575 	
 709,97559 	-0,000028518011 	
 719,9585 	-0,000030546315 	
 729,92603 	-0,000024360787 	
 740,03223 	-0,000031586933 	
 749,89673 	-0,000032829925 	
 759,9707 	-0,000031183554 	
 769,95178 	-0,000028829291 	
 779,83514 	-0,000029684115 	
 790,02203 	-0,00002685932 	
 800,08557 	-0,000027555803 	
 810,03577 	-0,000030186209 	
 820,10956 	-0,000022346933 	
 830,10602 	-0,000025047003 	
 840,03583 	-0,000023878846 	
 850,0271 	-0,000026104885 	
 860,05975 	-0,000030832726 	
 869,99457 	-0,000027314414 	
 879,84717 	-0,0000210504 	
 889,96204 	-0,000026429322 	
 899,99463 	-0,00002215513 	
 910,04773 	-0,000026051724 	
 920,10095 	-0,000030826186 	
 929,91223 	-0,000031641614 	
 940,01685 	-0,000024736331 	
 949,99792 	-0,000029033567 	
 959,96362 	-0,000025839692 	
 970,06824 	-0,00002540863 	
 980,03894 	-0,000021965685 	
 990,02014 	-0,00003074443 	
 999,97809 	-0,000035331195 	
 1010,1339 	-0,000027440128 	
 1019,8829 	-0,000031256563 	
 1029,9769 	-0,000034135355 	
 1040,1021 	-0,000029080415 	
 1050,026 	-0,000021650146 	
 1059,9862 	-0,000030018211 	
 1070,0802 	-0,000025605985 	
 1080,0405 	-0,000025578226 	
 1089,9235 	-0,00001797357 	
 1100,0483 	-0,00002480166 	
 1110,0394 	-0,000024959239 	
 1120,087 	-0,000028402032 	
 1129,9133 	-0,000023437289 	
 1140,1722 	-0,000026579981 	
 1150,0552 	-0,000030444785 	
 1160,0669 	-0,000029587453 	
 1169,96 	-0,000028103452 	
 1180,116 	-0,000025740292 	
 1189,896 	-0,000028925497 	
 1200,0569 	-0,000027634136 	
 1209,981 	-0,000034801038 	
 1219,9927 	-0,000022968581 	
 1230,0044 	-0,000029279063 	
 1240,0005 	-0,000028261716 	
 1249,8938 	-0,000028301111 	
 1260,1167 	-0,000031567083 	
 1269,9995 	-0,000030522206 	
 1279,9597 	-0,000021184784 	
