Start Time:  2/21/2019 8:12:18 AM         Time Completed:  2/21/2019 8:49:07 AM     Elapsed Time:  00:36:48
Sample ID:     BFO_425_Hysteresis_200219

Experiment:    C:\IDEASVSM\Default UserID\Experiments\Hys_BFO_Completa1h\Hys_BFO_Completa1h.exp
Data File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\BFO_425_Hysteresis_200219.txt
Plot File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\BFO_425_Hysteresis_200219.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\Hys_BFO_Completa1h\Hys_BFO_Completa1h.stp
VSM Data File: c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\BFO_425_Hysteresis_200219.dat

***DATA***

Field(Oe)	 Moment(emu)	
-4.2737154 	-0.00013277791 	
-2.6117721 	-0.000075798172 	
-0.93964984 	-0.000011110951 	
 0.71350126 	 0.00004819736 	
 2.3931958 	 0.00010792867 	
 4.0526006 	 0.00016989485 	
 11.169932 	 0.00041884218 	
 24.797138 	 0.00088654289 	
 38.384398 	 0.0013181501 	
 51.979024 	 0.001722598 	
 65.631465 	 0.0021184314 	
 79.235469 	 0.0024895721 	
 92.808845 	 0.0028328245 	
 126.90267 	 0.0035998924 	
 184.03086 	 0.0047412422 	
 241.16761 	 0.0057258301 	
 298.31824 	 0.0065820574 	
 355.46265 	 0.0073106626 	
 412.59715 	 0.0079925443 	
 469.73176 	 0.00858923 	
 544.75315 	 0.0092891595 	
 644.63175 	 0.010119791 	
 744.63072 	 0.010842339 	
 844.63078 	 0.011489183 	
 944.63482 	 0.012096496 	
 1203.1097 	 0.013303911 	
 1642.8635 	 0.015049791 	
 2082.8014 	 0.016420156 	
 2526.7999 	 0.017503118 	
 2967.0233 	 0.018430157 	
 3406.982 	 0.019280793 	
 3846.9257 	 0.020024129 	
 4286.8986 	 0.0206876 	
 4726.8117 	 0.021305153 	
 5166.7526 	 0.021909263 	
 5606.6471 	 0.022474869 	
 6046.5255 	 0.022984541 	
 6486.3933 	 0.023500833 	
 6926.2933 	 0.023967046 	
 7366.155 	 0.024404283 	
 7806.0133 	 0.024879063 	
 8245.7732 	 0.025313044 	
 8685.5033 	 0.025762289 	
 9125.1437 	 0.026165321 	
 9564.6959 	 0.026545024 	
 10004.186 	 0.026953564 	
 10443.61 	 0.02735399 	
 10882.991 	 0.027692839 	
 11322.301 	 0.028062309 	
 11761.478 	 0.02843168 	
 11800.105 	 0.028501222 	
 11360.18 	 0.028187049 	
 10919.33 	 0.027840855 	
 10478.677 	 0.027504915 	
 10038.256 	 0.027135652 	
 9597.9336 	 0.026780634 	
 9157.7263 	 0.02639039 	
 8717.6418 	 0.026054641 	
 8277.6267 	 0.025598181 	
 7837.6524 	 0.025172085 	
 7397.7629 	 0.024767341 	
 6957.805 	 0.024286825 	
 6517.9165 	 0.023844929 	
 6077.9535 	 0.023369726 	
 5638.0915 	 0.022849019 	
 5198.1717 	 0.022320336 	
 4758.247 	 0.021707966 	
 4318.3962 	 0.021100024 	
 3878.4006 	 0.020407971 	
 3438.4384 	 0.019699468 	
