Start Time:  2/19/2019 3:25:23 PM         Time Completed:  2/19/2019 8:50:59 PM     Elapsed Time:  05:25:35
Sample ID:     dcd_prunba_3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\CDC_Floopy\CDC_Floopy.exp
Data File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\dcd_prunba_3.txt
Plot File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\dcd_prunba_3.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\CDC_Floopy\CDC_Floopy.stp
VSM Data File: c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\dcd_prunba_3.dat

***DATA***

Field(Oe)	 Moment(emu)	
 0.061845012 	-0.00099334481 	
 10.018892 	-0.00099565052 	
 20.166634 	-0.00099741988 	
 29.942869 	-0.00099559688 	
 40.120766 	-0.00099556839 	
 49.881664 	-0.00099729196 	
 60.06987 	-0.00099128634 	
 70.273499 	-0.00099557422 	
 80.415344 	-0.00099200572 	
 90.23777 	-0.00099708803 	
 99.895454 	-0.00099018585 	
 109.88779 	-0.00099146076 	
 120.1478 	-0.00098648834 	
 130.08356 	-0.00098231421 	
 140.00409 	-0.00099058833 	
 149.99669 	-0.00098624069 	
 160.0871 	-0.00098894978 	
 169.89435 	-0.000990231 	
 180.05217 	-0.0009882685 	
 189.93233 	-0.00098829881 	
 200.03387 	-0.00098432952 	
 210.06339 	-0.00098099105 	
 220.05167 	-0.00098248674 	
 230.07578 	-0.00098054098 	
 239.86246 	-0.00098151986 	
 249.95284 	-0.00097544347 	
 259.89917 	-0.00097470808 	
 270.05133 	-0.00097482439 	
 280.09586 	-0.00097085338 	
 289.97104 	-0.00097750026 	
 300.14481 	-0.0009820247 	
 310.13324 	-0.00096435874 	
 320.01355 	-0.00096469695 	
 330.11523 	-0.00096706126 	
 340.09338 	-0.00096279682 	
 349.98395 	-0.00096179017 	
 359.89514 	-0.00096097162 	
 370.0174 	-0.00095148173 	
 379.85919 	-0.00095096538 	
 390.01294 	-0.00095332057 	
 399.98151 	-0.00095368409 	
 409.97061 	-0.00094419526 	
 420.06778 	-0.00093777957 	
 429.99509 	-0.00093579101 	
 439.94824 	-0.0009309045 	
 449.95282 	-0.00092718677 	
 460.03973 	-0.00091940976 	
 470.02368 	-0.00091799485 	
 480.07452 	-0.00091553683 	
 490.03278 	-0.00090603446 	
 500.11942 	-0.0008974272 	
 510.07147 	-0.00088664117 	
 519.9411 	-0.00087987665 	
 530.01141 	-0.00088393815 	
 539.99426 	-0.00086430062 	
 549.91541 	-0.00085468592 	
 559.87256 	-0.00085177637 	
 570.07147 	-0.00083898719 	
 580.00287 	-0.00083175153 	
 590.00635 	-0.00080976984 	
 600.14355 	-0.00079999159 	
 610.02863 	-0.00078831198 	
 620.14532 	-0.00077163627 	
 629.94812 	-0.00076024206 	
 640.00305 	-0.00073650662 	
 650.14026 	-0.00071063088 	
 660.14368 	-0.00068755174 	
 670.0802 	-0.00067104365 	
 679.91394 	-0.00064707426 	
 689.99963 	-0.00062694074 	
 700.08545 	-0.00059881291 	
 710.05798 	-0.00057581101 	
 719.8916 	-0.00055019136 	
 730.04431 	-0.00051316974 	
 740.01172 	-0.00048962031 	
 749.98425 	-0.00045686359 	
 760.06848 	-0.00042852399 	
 769.86951 	-0.00038421191 	
 780.14911 	-0.00035617326 	
 790.0993 	-0.0003200337 	
 800.02374 	-0.00028936513 	
 809.90723 	-0.00025490778 	
 819.97058 	-0.00021467626 	
 829.94141 	-0.00018414953 	
 839.97394 	-0.00015274043 	
 850.05811 	-0.00010672332 	
 859.91046 	-0.000080008437 	
 869.94312 	-0.000043209518 	
 880.05811 	-0.000016988584 	
 890.19348 	 0.000018476549 	
 900.04602 	 0.00005315598 	
 910.01685 	 0.000081530982 	
 920.10095 	 0.00011410792 	
 929.96375 	 0.00014864633 	
 940.13 	 0.00017600123 	
 950.10083 	 0.00020182821 	
 960.06653 	 0.00023002207 	
 969.93445 	 0.00026512928 	
 979.96704 	 0.00028234541 	
 990.12305 	 0.00031105651 	
 1000.0192 	 0.00034006964 	
 1009.933 	 0.00035856308 	
 1019.9242 	 0.00038149444 	
 1030.0182 	 0.00040601611 	
 1039.9835 	 0.00042999177 	
 1050.0415 	 0.00044534317 	
 1060.0686 	 0.00046529843 	
 1070.0699 	 0.00049235375 	
