Start Time:  2/18/2019 8:03:03 PM         Time Completed:  2/18/2019 11:36:02 PM    Elapsed Time:  03:32:59
Sample ID:     IRM_DCD_Floppy_401pts_2

Experiment:    C:\IDEASVSM\Default UserID\Experiments\IRM_Floopy\IRM_Floopy,exp
Data File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\IRM_DCD_Floppy_401pts_2 (ProfileData)\IRM_DCD_Floppy_401pts_2#1,txt
Plot File:     c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\IRM_DCD_Floppy_401pts_2 (ProfileData)\IRM_DCD_Floppy_401pts_2#1,oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\IRM_Floopy\IRM_Floopy,stp
VSM Data File: c:\Ideasvsm\Default UserID\ERamos_\IR_DCD_Exp\Test_IRM_Floppy\IRM_DCD_Floppy_401pts_2 (ProfileData)\IRM_DCD_Floppy_401pts_2#1,dat

***DATA***

Field(Oe)	 Moment(emu)	
 0,017320184 	-0,00019823089 	
 9,9853306 	-0,00020360008 	
 19,984447 	-0,00020288694 	
 30,036242 	-0,00020006559 	
 39,98148 	-0,0002114106 	
 50,065681 	-0,00020559882 	
 60,033356 	-0,00020799376 	
 70,01947 	-0,00020125354 	
 80,063019 	-0,00020365786 	
 89,986679 	-0,00019886663 	
 100,01131 	-0,00020228832 	
 109,95332 	-0,00020244081 	
 119,9758 	-0,00020972738 	
 129,99734 	-0,0001962969 	
 139,95552 	-0,00020528992 	
 150,02287 	-0,00019795074 	
 160,09702 	-0,00019817913 	
 170,08624 	-0,00019542597 	
 179,98567 	-0,00019923514 	
 189,9998 	-0,00019482093 	
 199,96107 	-0,00019591412 	
 209,98068 	-0,00018828272 	
 219,95752 	-0,00019214533 	
 229,99106 	-0,00019451029 	
 240,03052 	-0,00018615612 	
 250,03398 	-0,00019161604 	
 259,99652 	-0,00019529233 	
 270,00513 	-0,00018668166 	
 280,01901 	-0,00019462325 	
 290,04587 	-0,00018798979 	
 300,08279 	-0,00018426298 	
 309,99924 	-0,00018376822 	
 319,91971 	-0,00018045827 	
 330,04236 	-0,0001823976 	
 340,00659 	-0,0001752996 	
 349,95428 	-0,00017481445 	
 359,97046 	-0,00017439758 	
 369,97656 	-0,00017462049 	
 380,00275 	-0,00017265301 	
 390,03632 	-0,00017063891 	
 400,0123 	-0,00016661969 	
 410,03561 	-0,00016402071 	
 419,97043 	-0,00016076064 	
 430,03485 	-0,0001621085 	
 439,909 	-0,00015667927 	
 449,93634 	-0,00015493493 	
 459,99976 	-0,000154719 	
 470,02252 	-0,00015220498 	
 479,99231 	-0,00014902949 	
 489,96057 	-0,00014685465 	
 499,98209 	-0,00013821271 	
 510,02841 	-0,00013242419 	
 520,00427 	-0,00013101358 	
 529,96576 	-0,0001293795 	
 539,94165 	-0,00012054663 	
 549,93652 	-0,00011641958 	
 559,95667 	-0,00011318231 	
 569,98096 	-0,0001093909 	
 579,99426 	-0,00010188967 	
 590,01141 	-0,000095172695 	
 599,98108 	-0,000092464586 	
 609,98517 	-0,000084279488 	
 619,98376 	-0,000083655786 	
 630,05078 	-0,00006977717 	
 639,99829 	-0,000066288092 	
 650,12952 	-0,000054936763 	
 660,01538 	-0,000049353696 	
 670,00879 	-0,000050712606 	
 679,97241 	-0,00003452351 	
 689,96777 	-0,000033800744 	
 699,96106 	-0,000026155118 	
 710,10168 	-0,0000096456225 	
 719,99878 	-0,0000039701895 	
 730,00452 	 0,0000060010652 	
 740,00769 	 0,00001531743 	
 749,88013 	 0,000032381407 	
 760,03491 	 0,000044834693 	
 770,00183 	 0,000052555862 	
 779,92407 	 0,000074772203 	
 789,97229 	 0,000091726227 	
 799,99792 	 0,00010253503 	
 809,93646 	 0,0001179405 	
 820,02789 	 0,00013982011 	
 829,90997 	 0,00016021321 	
 840,03534 	 0,00017182841 	
 849,92102 	 0,00019460801 	
 859,98883 	 0,00021734226 	
 870,01581 	 0,00023892396 	
 879,96802 	 0,00025211577 	
 889,97656 	 0,00027949085 	
 900,0083 	 0,00029799996 	
 910,0072 	 0,00031441528 	
 919,93091 	 0,0003305224 	
 929,95959 	 0,00035133964 	
 939,979 	 0,00037527979 	
 949,93311 	 0,00039277236 	
 960,0697 	 0,00041479075 	
 970,04846 	 0,00042710064 	
 979,99695 	 0,00045157325 	
 990,06006 	 0,000464087 	
 1000,0301 	 0,00048770384 	
 1009,957 	 0,00049712639 	
 1020,0584 	 0,0005196181 	
 1030,0142 	 0,00052982715 	
 1040,0079 	 0,00054846122 	
 1049,9596 	 0,00056586747 	
 1059,9879 	 0,00057564333 	
 1069,9479 	 0,00059036955 	
 1080,0096 	 0,0006026384 	
 1090,0304 	 0,00061870329 	
 1100,02 	 0,00062707306 	
 1109,9877 	 0,00064541095 	
 1119,9414 	 0,00064963397 	
 1130,0428 	 0,00066854911 	
 1139,9764 	 0,00067576624 	
 1149,9703 	 0,00069600867 	
 1160,0615 	 0,00070704698 	
 1170,0188 	 0,00071509684 	
 1180,0205 	 0,00071183172 	
 1189,9844 	 0,00072904798 	
 1200,0359 	 0,00074310074 	
 1209,9351 	 0,00074953096 	
 1219,9836 	 0,00075470031 	
 1230,0581 	 0,00076745938 	
 1239,9553 	 0,00076696423 	
 1249,9626 	 0,00077967788 	
 1260,0063 	 0,00078819858 	
 1270,0745 	 0,00079043028 	
 1280,0249 	 0,0007981139 	
 1290,0281 	 0,00080818775 	
 1300,0183 	 0,00081523797 	
 1310,0122 	 0,00081383055 	
 1320,0005 	 0,00082389611 	
 1330,0256 	 0,00083041603 	
 1339,9763 	 0,00083728616 	
 1349,9775 	 0,00083963708 	
 1360,0013 	 0,00084401676 	
 1370,0165 	 0,00084952456 	
 1379,9529 	 0,00085383284 	
 1390,0167 	 0,00085645363 	
 1399,9497 	 0,00086238899 	
 1410,0304 	 0,00086310253 	
 1420,0891 	 0,00086931918 	
 1429,9652 	 0,00087524308 	
 1440,0442 	 0,00087924694 	
 1449,9127 	 0,00088025663 	
 1460,0082 	 0,00088617441 	
 1470,0363 	 0,00088670364 	
 1480,017 	 0,00088897661 	
 1490,0416 	 0,0008986746 	
 1500,0277 	 0,00089831567 	
 1509,9873 	 0,00090300791 	
 1519,9546 	 0,00089933481 	
 1530,0645 	 0,00090341881 	
 1540,0166 	 0,00090638908 	
 1549,9802 	 0,00091268601 	
 1560,0706 	 0,00091200554 	
 1569,9551 	 0,00091695043 	
 1580,0325 	 0,0009140155 	
 1590,0396 	 0,00091795034 	
 1599,9697 	 0,00091980635 	
 1609,9116 	 0,00092723955 	
 1620,0415 	 0,00092337542 	
 1629,8999 	 0,00092560682 	
 1640,0703 	 0,0009315371 	
 1650,1743 	 0,00092107453 	
 1659,9565 	 0,00092535965 	
 1670,0319 	 0,00093634256 	
 1679,938 	 0,00093265856 	
 1690,0525 	 0,00092733887 	
 1700,0583 	 0,00093550512 	
 1710,0519 	 0,00093510673 	
 1720,1934 	 0,00093993583 	
 1729,9567 	 0,00094371208 	
 1740,0148 	 0,00093746556 	
 1749,8995 	 0,00094414596 	
 1760,0293 	 0,00094342801 	
 1770,1245 	 0,00094726267 	
 1780,0115 	 0,00094898215 	
 1790,0353 	 0,00094865077 	
 1800,037 	 0,00094783774 	
 1810,0891 	 0,00095187274 	
 1820,0066 	 0,00095197353 	
 1830,0786 	 0,00095039923 	
 1839,9895 	 0,00094991937 	
 1849,9402 	 0,00095093882 	
 1859,9255 	 0,0009539323 	
 1869,9495 	 0,00095358817 	
 1879,9883 	 0,00095388838 	
 1890,0046 	 0,00095200874 	
 1899,9624 	 0,00095488526 	
 1909,9595 	 0,00095345428 	
 1920,0579 	 0,00095762048 	
 1930,1294 	 0,00095635169 	
 1940,0249 	 0,00095845072 	
 1950,1204 	 0,00096060376 	
 1960,0198 	 0,00096780429 	
 1969,9819 	 0,00096938198 	
 1980,019 	 0,00096060526 	
 1990,0579 	 0,00096344479 	
 1999,9955 	 0,00096038893 	
 2010,1469 	 0,00096180759 	
 2019,9252 	 0,00096475154 	
 2029,9802 	 0,00096517897 	
 2039,9159 	 0,00096314691 	
 2050,0842 	 0,00095978382 	
 2059,9736 	 0,00096848003 	
 2069,9377 	 0,0009598339 	
 2079,9863 	 0,00096777777 	
 2089,9141 	 0,00096486169 	
 2099,8699 	 0,00096945643 	
 2109,9436 	 0,00097172617 	
 2119,9011 	 0,00096992867 	
 2130,1125 	 0,00096876476 	
 2139,9856 	 0,00097002487 	
 2149,9558 	 0,00096740721 	
 2159,9685 	 0,00096781916 	
